Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
AWR,American States Water Company,Utilities,70,8.22,8.56,9.08,7.99
PG,The Procter & Gamble Company,Consumer Staples,69,6.02,5.22,6.04,4.58
PH,Parker-Hannifin Corporation,Industrials,69,10.4,17.08,13.38,11.9
DOV,Dover Corporation,Industrials,69,0.99,1.0,1.11,2.84
NWN,Northwest Natural Holding Company,Utilities,69,0.52,0.52,0.53,0.57
GPC,Genuine Parts Company,Consumer Discretionary,68,5.27,7.06,5.58,5.69
EMR,Emerson Electric Co.,Industrials,67,0.84,1.18,1.32,1.8
CINF,Cincinnati Financial Corporation,Financials,64,8.01,8.74,7.67,6.3
LOW,"Lowe's Companies, Inc.",Consumer Discretionary,63,4.66,17.14,16.92,18.57
JNJ,Johnson & Johnson,Health Care,63,4.47,5.43,5.54,5.93
NDSN,Nordson Corporation,Industrials,62,-19.55,5.94,7.95,10.34
KO,The Coca-Cola Company,Consumer Staples,62,5.44,4.92,3.93,4.75
LANC,Lancaster Colony Corporation,Consumer Staples,62,5.8,6.17,6.62,7.45
CL,Colgate-Palmolive Company,Consumer Staples,62,3.67,3.43,2.98,3.39
ITW,Illinois Tool Works Inc.,Industrials,61,7.02,7.11,6.98,12.36
HRL,Hormel Foods Corporation,Consumer Staples,59,2.73,4.87,6.12,10.95
TGT,Target Corporation,Consumer Discretionary,58,1.84,12.01,11.3,8.86
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,58,3.0,3.0,3.0,4.22
FRT,Federal Realty Investment Trust,Real Estate,58,-24.43,-8.35,-4.56,-0.07
SJW,SJW Group,Utilities,57,5.27,5.57,5.93,7.88
SWK,"Stanley Black & Decker, Inc.",Industrials,57,1.25,3.04,3.85,4.8
CWT,California Water Service Group,Utilities,57,7.7,6.78,7.24,5.6
ABM,ABM Industries Incorporated,Industrials,57,2.28,5.8,-0.12,3.72
CBSH,"Commerce Bancshares, Inc.",Financials,56,6.32,5.99,6.06,7.07
SCL,Stepan Company,Materials,56,2.73,6.51,8.06,8.15
SYY,Sysco Corporation,Consumer Staples,55,2.03,3.17,5.31,5.62
FUL,H.B. Fuller Company,Materials,55,8.39,9.48,6.57,6.62
BKH,Black Hills Corporation,Utilities,54,4.01,4.33,4.87,5.25
NFG,National Fuel Gas Company,Utilities,54,4.09,4.07,3.36,2.92
MSA,MSA Safety Incorporated,Industrials,54,6.96,4.56,4.05,4.99
MO,"Altria Group, Inc.",Consumer Staples,54,4.17,4.36,4.05,7.18
UVV,Universal Corporation,Consumer Staples,54,1.26,1.28,1.3,4.68
PPG,"PPG Industries, Inc.",Materials,53,4.73,5.59,6.09,7.34
GWW,"W.W. Grainger, Inc.",Industrials,53,9.73,7.83,7.12,6.75
TNC,Tennant Company,Industrials,52,5.59,6.49,5.23,3.83
BDX,"Becton, Dickinson and Company",Health Care,52,5.71,5.01,4.65,5.7
KMB,Kimberly-Clark Corporation,Consumer Staples,52,3.4,2.29,3.45,3.81
PEP,"PepsiCo, Inc.",Consumer Staples,52,7.79,7.87,7.05,7.73
WMT,Walmart Inc.,Consumer Staples,51,9.22,4.22,3.27,2.64
SPGI,S&P Global Inc.,Financials,51,1.12,5.73,9.81,11.74
RPM,RPM International Inc.,Materials,51,9.89,7.07,6.04,6.79
NUE,Nucor Corporation,Materials,51,4.84,8.16,6.26,3.89
UBSI,"United Bankshares, Inc.",Financials,50,2.07,1.63,1.56,1.47
ADP,"Automatic Data Processing, Inc.",Information Technology,50,11.46,14.44,11.85,11.52
ED,"Consolidated Edison, Inc.",Utilities,50,2.47,2.32,2.33,2.8
RLI,RLI Corp.,Financials,49,6.55,4.82,4.61,4.85
MCD,McDonald's Corporation,Consumer Discretionary,49,8.83,8.9,7.47,7.54
MGEE,"MGE Energy, Inc.",Utilities,49,5.09,5.03,4.93,4.71
ADM,Archer-Daniels-Midland Company,Consumer Staples,49,11.12,10.56,7.4,7.62
CLX,The Clorox Company,Consumer Staples,48,1.69,2.16,3.68,5.26
CSL,Carlisle Companies Incorporated,Industrials,48,15.63,20.22,15.51,14.69
MDT,Medtronic plc,Health Care,47,1.46,4.15,5.65,8.85
SHW,The Sherwin-Williams Company,Materials,46,18.19,9.14,13.68,14.58
BEN,"Franklin Resources, Inc.",Financials,44,73.34,11.35,8.24,11.83
CTBI,"Community Trust Bancorp, Inc.",Financials,44,3.34,5.82,4.68,4.65
ORI,Old Republic International Corporation,Financials,43,8.17,6.4,5.79,3.81
AFL,Aflac Incorporated,Financials,43,19.05,14.86,13.12,10.31
APD,"Air Products and Chemicals, Inc.",Materials,43,-24.15,-4.0,2.74,5.6
SON,Sonoco Products Company,Materials,42,2.48,4.77,4.02,5.01
XOM,Exxon Mobil Corporation,Energy,42,4.35,3.24,2.29,3.59
CTAS,Cintas Corporation,Industrials,41,16.4,19.63,17.95,21.22
ATO,Atmos Energy Corporation,Utilities,40,8.6,8.74,8.85,8.16
BRC,Brady Corporation,Industrials,40,2.17,2.22,2.03,1.88
UHT,Universal Health Realty Income Trust,Real Estate,39,1.39,1.41,1.43,1.49
TROW,"T. Rowe Price Group, Inc.",Financials,38,1.64,4.72,10.29,10.92
TMP,Tompkins Financial Corporation,Financials,38,1.67,3.67,3.86,4.19
